110.6130,'w',pressed,OTHPYR
111.4159,'w',released,OTHPYR
111.5351,'d',pressed,OTHPYR
111.6041,'a',released,OTHPYR
112.1260,'a',pressed,OTHPYR
112.1969,'d',released,OTHPYR
112.3662,'w',pressed,OTHPYR
112.4530,'w',released,OTHPYR
112.4848,Mouse.left,pressed
112.5883,'a',released,OTHPYR
112.7552,'a',pressed,OTHPYR
112.8522,'a',released,OTHPYR
113.0378,'s',pressed,OTHPYR
113.0630,'d',pressed,OTHPYR
113.3026,'s',released,OTHPYR
113.3518,'d',released,OTHPYR
113.4099,'a',pressed,OTHPYR
113.5599,'w',pressed,OTHPYR
113.8226,'w',released,OTHPYR
113.8402,'a',released,OTHPYR
113.8930,'d',pressed,OTHPYR
114.0030,'a',pressed,OTHPYR
114.0393,Mouse.left,released
114.0674,'d',released,OTHPYR
114.2741,Mouse.left,pressed
114.3252,'a',released,OTHPYR
114.6820,'w',pressed,OTHPYR
115.8502,Mouse.left,released
115.8559,'w',released,OTHPYR
115.9671,'d',pressed,OTHPYR
115.9847,'s',pressed,OTHPYR
116.2182,Mouse.left,pressed
116.7451,Mouse.left,released
117.2845,'s',released,OTHPYR
117.4201,'w',pressed,OTHPYR
117.7884,Key.shift,pressed,OTHPYR
117.8959,Key.shift,released,OTHPYR
118.3835,Mouse.left,pressed
118.4631,'w',released,OTHPYR
118.5810,'d',released,OTHPYR
118.8960,'s',pressed,OTHPYR
119.1651,Mouse.left,released
119.2309,'s',released,OTHPYR
125.8789,'a',pressed,OTHPYR
125.8899,'w',pressed,OTHPYR
125.9671,'a',released,OTHPYR
126.1281,'w',released,OTHPYR
126.3329,'w',pressed,OTHPYR
126.3968,Key.shift,pressed,OTHPYR
126.7524,'A',pressed,OTHPYR
127.3104,'W',released,OTHPYR
128.0059,'W',pressed,OTHPYR
128.0334,Mouse.left,pressed
128.1081,Key.shift,released,OTHPYR
128.1253,'a',released,OTHPYR
128.2012,'w',released,OTHPYR
128.3189,'w',pressed,OTHPYR
128.5342,'d',released,OTHPYR
128.8021,Mouse.left,released
128.9401,'d',pressed,OTHPYR
129.1139,'w',released,OTHPYR
129.2806,'s',pressed,OTHPYR
129.5059,'s',released,OTHPYR
129.7162,'a',pressed,OTHPYR
129.7793,'d',released,OTHPYR
129.9713,'w',pressed,OTHPYR
130.4512,Mouse.left,pressed
130.5111,'w',released,OTHPYR
131.1583,'s',pressed,OTHPYR
131.8971,Mouse.left,released
131.9459,'s',released,OTHPYR
131.9790,'a',released,OTHPYR
144.0172,'s',pressed,OTHPYR
144.3249,'s',released,OTHPYR
145.2331,'d',pressed,OTHPYR
145.2479,'w',pressed,OTHPYR
145.3032,Mouse.left,pressed
145.3279,'d',released,OTHPYR
145.9761,Mouse.left,released
146.1419,'w',released,OTHPYR
146.3199,'s',pressed,OTHPYR
146.6469,'s',released,OTHPYR
146.7471,'w',pressed,OTHPYR
147.5869,'a',pressed,OTHPYR
147.7491,'a',released,OTHPYR
147.9948,'d',pressed,OTHPYR
148.1294,'w',released,OTHPYR
148.6559,'w',pressed,OTHPYR
148.8162,'d',released,OTHPYR
148.8171,Mouse.left,pressed
148.9130,'d',pressed,OTHPYR
149.7359,'d',released,OTHPYR
150.2639,'a',pressed,OTHPYR
151.6489,'w',released,OTHPYR
151.9280,'a',released,OTHPYR
152.0093,Mouse.left,released
152.0385,'d',pressed,OTHPYR
152.0730,'s',pressed,OTHPYR
152.5241,Mouse.left,pressed
152.6949,'s',released,OTHPYR
152.7029,'d',released,OTHPYR
152.8272,Mouse.left,released
152.9303,'d',pressed,OTHPYR
153.2359,'w',pressed,OTHPYR
153.5450,Key.shift,pressed,OTHPYR
153.6030,'D',released,OTHPYR
154.3232,Mouse.left,pressed
154.4949,Mouse.left,released
155.2319,'D',pressed,OTHPYR
155.5400,'W',released,OTHPYR
155.8749,'W',pressed,OTHPYR
156.8290,Mouse.left,pressed
156.8972,'D',released,OTHPYR
157.0238,Key.shift,released,OTHPYR
157.0793,'w',released,OTHPYR
157.4630,Mouse.left,released
158.6729,'w',pressed,OTHPYR
159.1603,'w',released,OTHPYR
159.7801,'w',pressed,OTHPYR
160.4620,'a',pressed,OTHPYR
160.4750,'d',released,OTHPYR
161.1151,'a',released,OTHPYR
161.6351,'d',pressed,OTHPYR
161.8402,'w',released,OTHPYR
161.9986,'w',pressed,OTHPYR
162.1062,'d',released,OTHPYR
162.4670,'a',pressed,OTHPYR
162.6842,'a',released,OTHPYR
162.7101,'d',pressed,OTHPYR
163.1427,'d',released,OTHPYR
163.6749,'a',pressed,OTHPYR
164.1638,'a',released,OTHPYR
164.2110,'d',pressed,OTHPYR
164.3202,Mouse.left,pressed
164.6263,'w',released,OTHPYR
164.6618,'d',released,OTHPYR
165.3509,'s',pressed,OTHPYR
165.5098,'s',released,OTHPYR
165.6268,'s',pressed,OTHPYR
165.7639,'a',pressed,OTHPYR
165.9982,'a',released,OTHPYR
166.1263,'a',pressed,OTHPYR
166.3431,'s',released,OTHPYR
166.5318,'w',pressed,OTHPYR
166.6671,Mouse.left,released
167.0559,Key.shift,pressed,OTHPYR
168.5118,'A',released,OTHPYR
169.2807,'D',pressed,OTHPYR
169.8319,'D',released,OTHPYR
169.8811,'D',pressed,OTHPYR
170.0027,Key.shift,released,OTHPYR
170.2645,'w',released,OTHPYR
170.5119,'s',pressed,OTHPYR
170.8963,'s',released,OTHPYR
171.0859,'w',pressed,OTHPYR
171.1418,'a',released,OTHPYR
171.2098,'d',released,OTHPYR
171.4800,'a',pressed,OTHPYR
171.5631,'a',released,OTHPYR
172.2574,'d',pressed,OTHPYR
172.4784,'d',released,OTHPYR
172.8900,'a',pressed,OTHPYR
173.0411,'a',released,OTHPYR
173.1248,'d',pressed,OTHPYR
173.4729,'w',released,OTHPYR
173.5019,'d',released,OTHPYR
188.4188,Key.cmd,pressed,OTHPYR
188.6339,Key.tab,pressed,OTHPYR
188.7359,Key.cmd,released,OTHPYR
188.7903,Key.tab,released,OTHPYR
188.8993,Key.cmd,pressed,OTHPYR
189.0015,Key.cmd,released,OTHPYR
189.8273,Key.cmd,pressed,OTHPYR
189.9784,Key.tab,pressed,OTHPYR
190.0413,Key.cmd,released,OTHPYR
190.0871,Key.tab,released,OTHPYR
192.2373,Mouse.left,pressed
192.3522,Mouse.left,released
204.8459,'g',pressed,OTHPYR
205.0260,'g',released,OTHPYR
205.9560,'n',pressed,OTHPYR
205.9638,'m',pressed,OTHPYR
206.0659,'n',released,OTHPYR
206.0688,'m',released,OTHPYR
208.5920,Mouse.left,pressed
208.6831,Mouse.left,released
208.9000,Mouse.left,pressed
208.9981,Mouse.left,released
209.2991,Mouse.left,pressed
209.3811,Mouse.left,released
209.7352,Mouse.left,pressed
209.8301,Mouse.left,released
210.5971,Mouse.left,pressed
210.7050,Mouse.left,released
212.0350,'g',pressed,OTHPYR
212.1818,'g',released,OTHPYR
212.5590,'f',pressed,OTHPYR
212.7050,'f',released,OTHPYR
213.4668,'a',pressed,OTHPYR
213.6260,'a',released,OTHPYR
214.0068,Key.esc,pressed,OTHPYR
214.1848,Key.esc,released,OTHPYR
216.8371,Mouse.left,pressed
216.9251,Mouse.left,released
222.4521,Mouse.left,pressed
222.5582,Mouse.left,released
223.3578,Key.esc,pressed,OTHPYR
223.4829,Key.esc,released,OTHPYR
224.5339,Key.comma,pressed,OTHPYR
224.6309,Key.comma,released,OTHPYR
230.4879,Mouse.left,pressed
230.5820,Mouse.left,released
232.0541,Mouse.right,pressed
232.3640,Mouse.right,released
232.9150,'a',pressed,OTHPYR
232.9388,'w',pressed,OTHPYR
233.0503,'a',released,OTHPYR
233.7021,Key.shift,pressed,OTHPYR
234.8353,'A',pressed,OTHPYR
235.6029,'A',released,OTHPYR
235.9689,'D',released,OTHPYR
236.9858,'A',pressed,OTHPYR
238.1959,'A',released,OTHPYR
238.3809,'D',pressed,OTHPYR
238.6748,'D',released,OTHPYR
238.6818,'A',pressed,OTHPYR
239.3078,'A',released,OTHPYR
239.4989,'A',pressed,OTHPYR
239.8183,'W',released,OTHPYR
240.0120,'W',pressed,OTHPYR
240.2081,Mouse.right,pressed
240.3879,'W',released,OTHPYR
241.2402,'W',pressed,OTHPYR
241.9847,'A',released,OTHPYR
244.5760,Mouse.right,released
244.8512,Mouse.right,pressed
245.1001,Mouse.right,released
245.5811,'W',released,OTHPYR
245.6508,Key.shift,released,OTHPYR
246.4188,'a',pressed,OTHPYR
247.0481,'a',released,OTHPYR
247.3161,'d',pressed,OTHPYR
247.4422,'w',released,OTHPYR
247.7629,'w',pressed,OTHPYR
247.9953,'d',released,OTHPYR
248.0368,Key.shift,pressed,OTHPYR
248.2348,'D',pressed,OTHPYR
248.5040,'W',released,OTHPYR
248.9378,'A',pressed,OTHPYR
248.9509,'D',released,OTHPYR
249.7469,'A',released,OTHPYR
249.7479,'D',pressed,OTHPYR
249.8203,'W',pressed,OTHPYR
250.2138,'D',released,OTHPYR
250.6719,'D',pressed,OTHPYR
250.9773,'W',released,OTHPYR
251.4569,'W',pressed,OTHPYR
251.5261,'A',pressed,OTHPYR
251.5715,'D',released,OTHPYR
252.0731,Mouse.right,pressed
252.1313,'W',released,OTHPYR
252.2623,Key.shift,released,OTHPYR
252.4048,Key.shift,pressed,OTHPYR
253.0790,Mouse.left,pressed
253.2038,'A',released,OTHPYR
253.3650,Mouse.left,released
253.4378,'A',pressed,OTHPYR
254.2051,Mouse.left,pressed
254.2628,'A',released,OTHPYR
255.0938,'W',pressed,OTHPYR
255.4231,Mouse.left,released
255.5408,'A',pressed,OTHPYR
255.6688,'W',released,OTHPYR
256.4510,Mouse.left,pressed
256.4589,'A',released,OTHPYR
257.5060,'A',pressed,OTHPYR
258.0119,'A',released,OTHPYR
258.2229,Mouse.left,released
258.3590,'A',pressed,OTHPYR
258.3829,'W',pressed,OTHPYR
258.7368,'W',released,OTHPYR
258.8559,'A',released,OTHPYR
258.9208,'W',pressed,OTHPYR
